# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
     0.00%  gmx      libc-2.27.so             [.] __memmove_avx_unaligned_erms
     0.00%  gmx      [kernel.kallsyms]        [k] __indirect_thunk_start
     0.00%  gmx      libgromacs.so.5.0.0      [.] atan2f@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::reduce_thread_forces
     0.00%  gmx      libgromacs.so.5.0.0      [.] copy_rvec_to_nbat_real@plt
     0.00%  gmx      [kernel.kallsyms]        [k] native_irq_return_iret
     0.00%  gmx      libgromacs.so.5.0.0      [.] copyIdefFromMtop
     0.00%  gmx      [kernel.kallsyms]        [k] rcu_note_context_switch
     0.00%  gmx      [kernel.kallsyms]        [k] schedule
     0.00%  gmx      [kernel.kallsyms]        [k] cgroup_cpu_stat_updated
     0.00%  gmx      libgromacs.so.5.0.0      [.] PairlistSet::constructPairlists
     0.00%  gmx      libc-2.27.so             [.] hack_digit
     0.00%  gmx      libgromacs.so.5.0.0      [.] memset@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] mk_mshift
     0.00%  gmx      [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.00%  gmx      libgromacs.so.5.0.0      [.] sincosf@plt
     0.00%  gmx      [kernel.kallsyms]        [k] update_load_avg
     0.00%  gmx      [kernel.kallsyms]        [k] swapgs_restore_regs_and_return_to_usermode
     0.00%  gmx      libgromacs.so.5.0.0      [.] std::vector<nbnxn_cj_t, gmx::DefaultInitializationAllocator<nbnxn_cj_t, std::allocator<nbnxn_cj_t> > >::_M_emplace_back_aux<nbnxn_cj_t const&>
     0.00%  gmx      [kernel.kallsyms]        [k] __handle_mm_fault
     0.00%  gmx      libc-2.27.so             [.] __strchrnul_avx2
     0.00%  gmx      libc-2.27.so             [.] __mpn_mul_1
     0.00%  gmx      [kernel.kallsyms]        [k] perf_event_task_tick
     0.00%  gmx      [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.00%  gmx      [kernel.kallsyms]        [k] select_task_rq_fair
     0.00%  gmx      libc-2.27.so             [.] _itoa_word
     0.00%  gmx      ld-2.27.so               [.] _dl_relocate_object
     0.00%  gmx      libgromacs.so.5.0.0      [.] do_dih_fup<(BondedKernelFlavor)2>@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] dih_angle@plt
     0.00%  gmx      libc-2.27.so             [.] __mpn_divrem
     0.00%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::setDimensions
     0.00%  gmx      libgromacs.so.5.0.0      [.] nonbonded_verlet_t::dispatchNonbondedKernel
     0.00%  gmx      [kernel.kallsyms]        [k] task_tick_fair
     0.00%  gmx      libgromacs.so.5.0.0      [.] getGroupType
     0.00%  gmx      libc-2.27.so             [.] __strlen_avx2
     0.00%  gmx      ld-2.27.so               [.] _dl_lookup_symbol_x
     0.00%  gmx      [kernel.kallsyms]        [k] sched_clock
     0.00%  gmx      [kernel.kallsyms]        [k] __switch_to
     0.00%  gmx      libm-2.27.so             [.] __erf
     0.00%  gmx      libgromacs.so.5.0.0      [.] pr_ebin
     0.00%  gmx      libgromacs.so.5.0.0      [.] haveCpuBondeds@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::EnergyEvaluator::run
     0.00%  gmx      libc-2.27.so             [.] buffered_vfprintf
     0.00%  gmx      [kernel.kallsyms]        [k] account_user_time
     0.00%  gmx      [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.00%  gmx      [kernel.kallsyms]        [k] common_file_perm
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::LegacySimulator::do_steep
     0.00%  gmx      [kernel.kallsyms]        [k] pvclock_gtod_notify
     0.00%  gmx      libm-2.27.so             [.] __acosf
     0.00%  gmx      [kernel.kallsyms]        [k] update_cfs_group
     0.00%  gmx      libc-2.27.so             [.] __libc_scratch_buffer_set_array_size
     0.00%  gmx      libgromacs.so.5.0.0      [.] nonbonded_verlet_t::isDynamicPruningStepCpu
     0.00%  gmx      libgromacs.so.5.0.0      [.] wallcycle_stop@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] std::vector<int, gmx::Allocator<int, gmx::HostAllocationPolicy> >::_M_default_append
     0.00%  gmx      libgromacs.so.5.0.0      [.] atoms2md
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] pthread_mutex_lock@plt
     0.00%  gmx      [kernel.kallsyms]        [k] sched_clock_cpu
     0.00%  gmx      [kernel.kallsyms]        [k] unmap_page_range
     0.00%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304a97
     0.00%  gmx      [kernel.kallsyms]        [k] __switch_to_asm
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::InMemoryDeserializer::doRvec
     0.00%  gmx      [kernel.kallsyms]        [k] __slab_free
     0.00%  gmx      libc-2.27.so             [.] __strspn_sse42
     0.00%  gmx      [kernel.kallsyms]        [k] page_add_file_rmap
     0.00%  gmx      [kernel.kallsyms]        [k] __update_load_avg_se.isra.37
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_alloc_inode
