# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      [kernel.kallsyms]                     [k] note_gp_changes
     0.00%  gmx      [kernel.kallsyms]                     [k] irq_work_tick
     0.00%  gmx      libgromacs.so.5.0.0                   [.] atoms2md
     0.00%  gmx      [kernel.kallsyms]                     [k] __ext4_handle_dirty_metadata
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e0c
     0.00%  gmx      libgromacs.so.5.0.0                   [.] getGroupType@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] __bitmap_and
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298700
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_force_listed@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f90
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7a04
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8edc
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_launch_cpyback
     0.00%  gmx      [kernel.kallsyms]                     [k] update_process_times
     0.00%  gmx      libgromacs.so.5.0.0                   [.] reset_foreign_enerdata@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e5960
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002986b0
     0.00%  gmx      [kernel.kallsyms]                     [k] page_remove_rmap
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba2fb
     0.00%  gmx      [kernel.kallsyms]                     [k] set_page_dirty_lock
     0.00%  gmx      [kernel.kallsyms]                     [k] calc_global_load_tick
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv010165rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2f87
     0.00%  gmx      [kernel.kallsyms]                     [k] reschedule_interrupt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] set_pbc_simd
     0.00%  gmx      [kernel.kallsyms]                     [k] timekeeping_update
     0.00%  gmx      [kernel.kallsyms]                     [k] __inc_numa_state
     0.00%  gmx      [kernel.kallsyms]                     [k] rb_erase
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f70f8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b2c77
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f38
     0.00%  gmx      libgromacs.so.5.0.0                   [.] check_box
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fa4
     0.00%  gmx      [kernel.kallsyms]                     [k] follow_page_pte
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv018352rm
     0.00%  gmx      [kernel.kallsyms]                     [k] intel_pmu_disable_all
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::driverHelper::memcpyAsyncDispatch
     0.00%  gmx      [kernel.kallsyms]                     [k] rb_insert_color_cached
     0.00%  gmx      libgromacs.so.5.0.0                   [.] check_box@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] __fget
     0.00%  gmx      [kernel.kallsyms]                     [k] fsnotify
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::cudaApiLaunchKernelCommon
     0.00%  gmx      [kernel.kallsyms]                     [k] scheduler_ipi
     0.00%  gmx      [kernel.kallsyms]                     [k] hidinput_hid_event
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002f3524
     0.00%  gmx      [kernel.kallsyms]                     [k] hid_irq_in
     0.00%  gmx      [kernel.kallsyms]                     [k] _cond_resched
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000243f60
     0.00%  gmx      [kernel.kallsyms]                     [k] handle_tx_event
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304a97
     0.00%  gmx      [kernel.kallsyms]                     [k] call_function_interrupt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7fc0
     0.00%  gmx      libm-2.27.so                          [.] __ieee754_exp_fma
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv015373rm
     0.00%  gmx      ld-2.27.so                            [.] _dl_sysdep_start
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv030147rm
     0.00%  gmx      libm-2.27.so                          [.] __ieee754_log_fma
     0.00%  gmx      libgromacs.so.5.0.0                   [.] sum_dhdl
     0.00%  gmx      [kernel.kallsyms]                     [k] lookup_address_in_pgd
     0.00%  gmx      [kernel.kallsyms]                     [k] ___slab_alloc
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv012457rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242762
     0.00%  gmx      [kernel.kallsyms]                     [k] pagevec_lru_move_fn
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190da
     0.00%  gmx      [kernel.kallsyms]                     [k] free_unref_page
     0.00%  gmx      [kernel.kallsyms]                     [k] wakeup_preempt_entity.isra.68
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000eef40
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020948rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002c04a6
     0.00%  gmx      libnvidia-fatbinaryloader.so.390.116  [.] 0x0000000000023a58
     0.00%  gmx      [kernel.kallsyms]                     [k] do_futex
     0.00%  gmx      [kernel.kallsyms]                     [k] cpumask_next
     0.00%  gmx      libc-2.27.so                          [.] __mpn_lshift
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::InMemorySerializer::doInt32
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e16e
     0.00%  gmx      [kernel.kallsyms]                     [k] _find_next_bit
     0.00%  gmx      [kernel.kallsyms]                     [k] mutex_unlock
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f37
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] pthread_mutex_lock@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] mem_cgroup_commit_charge
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2f96
     0.00%  gmx      [kernel.kallsyms]                     [k] sched_clock
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv025884rm
     0.00%  gmx      libc-2.27.so                          [.] __libc_scratch_buffer_set_array_size
     0.00%  gmx      [kernel.kallsyms]                     [k] prefetch_freepointer
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::contextState::prepareToLaunchFunction
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242056
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002ffdf3
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304aa1
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f65
     0.00%  gmx      [kernel.kallsyms]                     [k] dequeue_task_fair
     0.00%  gmx      [kernel.kallsyms]                     [k] _raw_spin_trylock
     0.00%  gmx      [kernel.kallsyms]                     [k] __switch_to
     0.00%  gmx      libgromacs.so.5.0.0                   [.] copyExclsFromMtop
     0.00%  gmx      libgomp.so.1.0.0                      [.] omp_get_num_threads
     0.00%  gmx      [kernel.kallsyms]                     [k] account_entity_dequeue
     0.00%  gmx      libgromacs.so.5.0.0                   [.] low_set_pbc
     0.00%  gmx      [kernel.kallsyms]                     [k] scheduler_tick
     0.00%  gmx      libgromacs.so.5.0.0                   [.] mdoutf_write_to_trajectory_files
     0.00%  gmx      [kernel.kallsyms]                     [k] tick_sched_handle
     0.00%  gmx      [kernel.kallsyms]                     [k] __queue_work
     0.00%  gmx      libc-2.27.so                          [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b3205
     0.00%  gmx      libgromacs.so.5.0.0                   [.] put_atoms_in_box_omp
     0.00%  gmx      [kernel.kallsyms]                     [k] test_clear_page_writeback
     0.00%  gmx      libc-2.27.so                          [.] xdr_float
     0.00%  gmx      [kernel.kallsyms]                     [k] sched_avg_update
     0.00%  gmx      libc-2.27.so                          [.] _IO_vfscanf
     0.00%  gmx      [kernel.kallsyms]                     [k] sync_regs
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8d7b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f0f
     0.00%  gmx      libc-2.27.so                          [.] __getpid
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fa9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000236dda
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::LegacySimulator::do_steep
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f2a7
     0.00%  gmx      [kernel.kallsyms]                     [k] cpu_load_update
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190ed
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b2b70
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002bd8ac
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudart::contextState::getEntryFunction
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a8804
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f80a5
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f860
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calc_vir
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f13
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002709ae
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f50
     0.00%  gmx      [kernel.kallsyms]                     [k] _raw_spin_lock_irq
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e1dc
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704f8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f95a
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270990
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cu_copy_D2H_async@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f60
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_da_write_end
     0.00%  gmx      libgomp.so.1.0.0                      [.] GOMP_parallel_end
     0.00%  gmx      libgromacs.so.5.0.0                   [.] ePBC2npbcdim@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] ahci_scr_read
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b9e80
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8d5a
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e31c5
     0.00%  gmx      [kernel.kallsyms]                     [k] __perf_event_task_sched_out
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv026335rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000199df0
     0.00%  gmx      [kernel.kallsyms]                     [k] __sb_start_write
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c2ddf
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298fe3
     0.00%  gmx      [kernel.kallsyms]                     [k] cmpxchg_double_slab.isra.33
     0.00%  gmx      libgromacs.so.5.0.0                   [.] memset@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_step_str@plt
     0.00%  gmx      libpthread-2.27.so                    [.] pthread_cond_signal@@GLIBC_2.3.2
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002704f4
     0.00%  gmx      [kernel.kallsyms]                     [k] nv_check_pci_config_space
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e29
     0.00%  gmx      [kernel.kallsyms]                     [k] input_pass_values.part.7
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_step_str
     0.00%  gmx      [kernel.kallsyms]                     [k] nvos_create_alloc
     0.00%  gmx      libcuda.so.390.116                    [.] pthread_once@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] activate_task
     0.00%  gmx      [kernel.kallsyms]                     [k] mmap_region
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::GridSet::putOnGrid
     0.00%  gmx      [kernel.kallsyms]                     [k] resched_curr
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudaMemcpyAsync
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba2f0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv026295rm
     0.00%  gmx      [kernel.kallsyms]                     [k] rb_erase_cached
     0.00%  gmx      [kernel.kallsyms]                     [k] memset_erms
     0.00%  gmx      [kernel.kallsyms]                     [k] free_unref_page_commit
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8ed7
     0.00%  gmx      [kernel.kallsyms]                     [k] __generic_file_write_iter
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e0c8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f8fd
     0.00%  gmx      [kernel.kallsyms]                     [k] __get_user_pages
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87f0
     0.00%  gmx      libgromacs.so.5.0.0                   [.] ePBC2npbcdim
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f7a51
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f90a
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv020474rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e2f4
     0.00%  gmx      [kernel.kallsyms]                     [k] __alloc_pages_nodemask
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f28b
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008306rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __slab_free
     0.00%  gmx      [kernel.kallsyms]                     [k] _raw_read_lock
     0.00%  gmx      [kernel.kallsyms]                     [k] common_file_perm
     0.00%  gmx      [kernel.kallsyms]                     [k] new_slab
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_enx
     0.00%  gmx      [kernel.kallsyms]                     [k] __x86_indirect_thunk_r9
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_dma_to_transfer_ring
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000000dc91
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008033rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027059e
     0.00%  gmx      [kernel.kallsyms]                     [k] __follow_mount_rcu.isra.27
     0.00%  gmx      libstdc++.so.6.0.25                   [.] operator new@plt
     0.00%  gmx      libpthread-2.27.so                    [.] __pthread_mutex_lock_full
     0.00%  gmx      [kernel.kallsyms]                     [k] find_next_bit
     0.00%  gmx      [kernel.kallsyms]                     [k] check_preempt_curr
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx_omp_nthreads_get
     0.00%  gmx      [kernel.kallsyms]                     [k] memcpy_erms
     0.00%  gmx      libpthread-2.27.so                    [.] __pthread_getspecific
     0.00%  gmx      [kernel.kallsyms]                     [k] vsnprintf
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f31
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000027063f
     0.00%  gmx      [kernel.kallsyms]                     [k] free_memtype
     0.00%  gmx      libgromacs.so.5.0.0                   [.] omp_get_thread_num@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] pvclock_gtod_notify
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000297670
     0.00%  gmx      [kernel.kallsyms]                     [k] check_preempt_wakeup
     0.00%  gmx      [kernel.kallsyms]                     [k] raise_softirq
     0.00%  gmx      [kernel.kallsyms]                     [k] do_mmap
     0.00%  gmx      [kernel.kallsyms]                     [k] unlock_page_memcg
     0.00%  gmx      [kernel.kallsyms]                     [k] set_next_entity
     0.00%  gmx      [kernel.kallsyms]                     [k] usb_anchor_suspend_wakeups
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv007255rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::settle_proj@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv007220rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e31a2
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nbnxn_atomdata_t::resizeForceBuffers
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cudaGetLastError
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000300607
     0.00%  gmx      libgromacs.so.5.0.0                   [.] reset_ebin_sums@plt
     0.00%  gmx      libc-2.27.so                          [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  gmx      [kernel.kallsyms]                     [k] walk_system_ram_range
     0.00%  gmx      libgromacs.so.5.0.0                   [.] set_pbc_dd@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_launch_cpyback@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] shmem_getpage_gfp
     0.00%  gmx      libgromacs.so.5.0.0                   [.] inputrecNeedMutot
     0.00%  gmx      libc-2.27.so                          [.] __GI___libc_fcntl
     0.00%  gmx      [kernel.kallsyms]                     [k] follow_pmd_mask
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_channel_end_push
     0.00%  gmx      [kernel.kallsyms]                     [k] ret_from_intr
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116bce
     0.00%  gmx      libgromacs.so.5.0.0                   [.] sum_epot
     0.00%  gmx      ld-2.27.so                            [.] _dl_fixup
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304aa8
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242756
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000d6bb9
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv009923rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002acfb5
     0.00%  gmx      libgromacs.so.5.0.0                   [.] nbnxn_atomdata_copy_shiftvec
     0.00%  gmx      [kernel.kallsyms]                     [k] mpx_unmapped_area_check
     0.00%  gmx      [kernel.kallsyms]                     [k] futex_wait_queue_me
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1ac0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021218rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv005172rm
     0.00%  gmx      [kernel.kallsyms]                     [k] pipe_poll
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270410
     0.00%  gmx      [kernel.kallsyms]                     [k] os_get_current_thread
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298d7f
     0.00%  gmx      libc-2.27.so                          [.] sysmalloc
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021095rm
     0.00%  gmx      [kernel.kallsyms]                     [k] pollwake
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv031970rm
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018fac
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021220rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] reduceForces
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e5e8a
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c3a14
     0.00%  gmx      libgromacs.so.5.0.0                   [.] add_blocks_enxframe
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021219rm
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_inode_csum.isra.57
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv022249rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __mnt_want_write_file
     0.00%  gmx      libgromacs.so.5.0.0                   [.] write_hconf_mtop
     0.00%  gmx      libc-2.27.so                          [.] __mempcpy_avx_unaligned_erms
     0.00%  gmx      [kernel.kallsyms]                     [k] __radix_tree_create
     0.00%  gmx      libgromacs.so.5.0.0                   [.] AtomProxy::residueName
     0.00%  gmx      libgromacs.so.5.0.0                   [.] AtomIterator::operator++
     0.00%  gmx      libc-2.27.so                          [.] __GI_____strtoll_l_internal
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242b67
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv029837rm
     0.00%  gmx      [kernel.kallsyms]                     [k] __vma_link_rb
     0.00%  gmx      libc-2.27.so                          [.] __strstr_sse2_unaligned
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000241c2f
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c45e5
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008281rm
     0.00%  gmx      [kernel.kallsyms]                     [k] do_page_fault
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f19e4
     0.00%  gmx      ld-2.27.so                            [.] _dl_lookup_symbol_x
     0.00%  gmx      [kernel.kallsyms]                     [k] unlock_page
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv005660rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calc_1se<InteractionList>
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018070
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002b42f7
     0.00%  gmx      [kernel.kallsyms]                     [k] uvm_va_range_map_rm_allocation
     0.00%  gmx      libc-2.27.so                          [.] __strncpy_sse2_unaligned
     0.00%  gmx      libgromacs.so.5.0.0                   [.] 0x00000000001b9738
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1662
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv030614rm
     0.00%  gmx      libnvidia-fatbinaryloader.so.390.116  [.] 0x000000000001ba9c
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b206a
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv005507rm
     0.00%  gmx      [kernel.kallsyms]                     [k] nvidia_frontend_unlocked_ioctl
     0.00%  gmx      libnvidia-fatbinaryloader.so.390.116  [.] 0x000000000001cc0d
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv029801rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e5f80
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f52
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000242774
     0.00%  gmx      [kernel.kallsyms]                     [k] free_pages_and_swap_cache
     0.00%  gmx      [kernel.kallsyms]                     [k] __lookup_mnt
     0.00%  gmx      libnvidia-fatbinaryloader.so.390.116  [.] 0x000000000001497a
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv031940rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116bc0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032809rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv009922rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e5770
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001d2638
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f1937
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv031293rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::EnergyOutput::printStepToEnergyFile
     0.00%  gmx      [kernel.kallsyms]                     [k] jiffies_to_timespec64
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c1c40
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000241ea1
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000299575
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f16e0
     0.00%  gmx      [kernel.kallsyms]                     [k] ext4_block_write_begin
     0.00%  gmx      [kernel.kallsyms]                     [k] find_get_entries
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e27
     0.00%  gmx      libc-2.27.so                          [.] msort_with_tmp.part.0
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv028331rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_sub_start_nocount
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c1904
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001adfdf
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001bcdfb
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002c1d98
     0.00%  gmx      [kernel.kallsyms]                     [k] __note_gp_changes
     0.00%  gmx      [kernel.kallsyms]                     [k] migrate_task_rq_fair
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190a0
     0.00%  gmx      [kernel.kallsyms]                     [k] ieee80211_queue_work
     0.00%  gmx      [kernel.kallsyms]                     [k] clocksource_watchdog
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001b161e
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_advance_cbs
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001dfe50
     0.00%  gmx      [kernel.kallsyms]                     [k] ieee80211_scan_rx
     0.00%  gmx      libgromacs.so.5.0.0                   [.] setup_bonded_threading
     0.00%  gmx      [kernel.kallsyms]                     [k] ttwu_do_activate
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000112a6e
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116c50
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv026471rm
     0.00%  gmx      [kernel.kallsyms]                     [k] perf_ctx_unlock
     0.00%  gmx      [kernel.kallsyms]                     [k] __find_get_block
     0.00%  gmx      [kernel.kallsyms]                     [k] select_estimate_accuracy
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000017de7
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x000000000000f8b7
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_clear_outputs
     0.00%  gmx      libgromacs.so.5.0.0                   [.] AtomIterator::operator==
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001c50c0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002be639
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f19de
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::formatStringV[abi:cxx11]@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002cfaf0
     0.00%  gmx      libgromacs.so.5.0.0                   [.] pthread_once@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000248cbd
     0.00%  gmx      libgromacs.so.5.0.0                   [.] std::vector<gmx::BasicVector<float>, gmx::Allocator<gmx::BasicVector<float>, gmx::HostAllocationPolicy> >::operator=
     0.00%  gmx      libgromacs.so.5.0.0                   [.] getGroupType
     0.00%  gmx      libgromacs.so.5.0.0                   [.] init_ekindata
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298a61
     0.00%  gmx      libgromacs.so.5.0.0                   [.] divide_bondeds_over_threads
     0.00%  gmx      [kernel.kallsyms]                     [k] get_futex_value_locked
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::PageAlignedAllocationPolicy::alignment@plt
     0.00%  gmx      [kernel.kallsyms]                     [k] mark_wake_futex
     0.00%  gmx      [kernel.kallsyms]                     [k] strcmp
     0.00%  gmx      libgromacs.so.5.0.0                   [.] gmx::Constraints::apply
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021187rm
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ebf2f
     0.00%  gmx      libcuda.so.390.116                    [.] calloc@plt
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016940
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv008307rm
     0.00%  gmx      [kernel.kallsyms]                     [k] read_hpet
     0.00%  gmx      libgromacs.so.5.0.0                   [.] wallcycle_stop@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001ba2f9
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002efe7d
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_report_qs_rnp
